dia,consideracion,cita_autor,cita_texto,cita_referencia
1,"El tema del ayuno llena de expectativas a la gente. Cuando le he planteado a algunos de mis pacientes la posibilidad y la necesidad de emprender un ayuno, siempre se preguntan algo como esto: ¿Me puedo curar pasando hambre? ¿Me pondré peor? ¿Me moriré en el intento? Y miles de preguntas parecidas más. Aun cuando el ayuno es algo milenario y los animales salvajes instintivamente lo practican cuando se enferman, siempre tendremos dudas. Hasta que algún día vivamos la experiencia. Quiero referirme ...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"El tema del ayuno llena de expectativas a la gente. Cuando le he planteado a algunos de mis pacientes la posibilidad y la necesidad de emprender un ayuno, siempre se preguntan algo como esto: ¿Me pued...","La Curación por El Ayuno, s/f"
2,"Una vez expuestos estos tres asuntos, me referiré a una obra extraordinaria, escrita a comienzos del siglo 20 por un ciudadano ruso, quien vivió gran parte de su vida en Serbia, y quien fue un personaje muy famoso en su época, tanto por sus curaciones como por las teorías que esbozó para explicar sus observaciones. Me refiero a Alexi Suvorin. Su libro La Curación por El Ayuno, sirve aun de motivación y referencia para las personas que anhelan encontrar su salud, la cual, generalmente, han esta...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"Una vez expuestos estos tres asuntos, me referiré a una obra extraordinaria, escrita a comienzos del siglo 20 por un ciudadano ruso, quien vivió gran parte de su vida en Serbia, y quien fue un persona...","La Curación por El Ayuno, s/f"
3,"El Ayuno en La Historia Los animales salvajes usan el ayuno, bien voluntariamente o forzados por la escasez. Siendo un muchacho, vi un documental de Walt Disney, donde se veía a un lobo, el cual fue herido en una pata por un cazador, en animal se refugió en una cueva por donde pasaba una corriente de agua. Sumergió su pata en el barro de la corriente y no se movió de allí en varios días. Su única comida y bebida fue el agua que pasaba delante de él, y se estuvo allí, vigilado por cámaras ocultas...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"El Ayuno en La Historia Los animales salvajes usan el ayuno, bien voluntariamente o forzados por la escasez. Siendo un muchacho, vi un documental de Walt Disney, donde se veía a un lobo, el cual fue h...","La Curación por El Ayuno, s/f"
4,"El día más sagrado y más solemne del año para los judíos es el día del Yom Kippur o “día del arrepentimiento”, considerado el día más santo. Su tema central es la expiación y la reconciliación. Comer, beber, bañarse, y tener relaciones sexuales está prohibido ese día. Los judíos instituyeron otros cuatro días de ayuno: el ayuno en el cuarto mes (el día noveno de Tammuz, cuando las murallas de Jerusalén fueron tomadas por los babilonios y destruido su templo); el ayuno del quinto mes (cuando el T...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"El día más sagrado y más solemne del año para los judíos es el día del Yom Kippur o “día del arrepentimiento”, considerado el día más santo. Su tema central es la expiación y la reconciliación. Comer,...","La Curación por El Ayuno, s/f"
5,"El Ayuno entre los primeros cristianos Los primeros cristianos no sólo establecieron el ayuno, como costumbre frecuente entre ellos, también exigían la abstención permanente de toda clase de comida de procedencia animal. En la Edad Media los franciscanos fueron los campeones en eso de respetar la vida animal. Consideraban a todos los animales como sus hermanos y amigos y, por lo tanto se abstenían de comerse a sus amigos. El ayuno era muy frecuente entre ellos. Aun hoy día, algunas órdenes rel...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"El Ayuno entre los primeros cristianos Los primeros cristianos no sólo establecieron el ayuno, como costumbre frecuente entre ellos, también exigían la abstención permanente de toda clase de comida de...","La Curación por El Ayuno, s/f"
6,"El Ayuno en El Islam Entre los musulmanes, durante el mes de Ramadán, todos los musulmanes tienen la obligación de ayunar durante 19 días. Este particular método consistía, originalmente, en un ayuno de veinticuatro horas durante esos 19 días. Posteriormente se modificó la práctica del ayuno, permitiendo que la gente consumiera algunas frutas en las noches, entre el ocaso y el amanecer. Absteniéndose de comida y bebida durante las horas diurnas. Con el tiempo, esta práctica terminó convirtiéndos...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"El Ayuno en El Islam Entre los musulmanes, durante el mes de Ramadán, todos los musulmanes tienen la obligación de ayunar durante 19 días. Este particular método consistía, originalmente, en un ayuno ...","La Curación por El Ayuno, s/f"
7,"En los años 60 del siglo XX, mientras hacía mis estudios de psicología, hacíamos experimentos con ratas y llegamos a comprobar que el hambre era una motivación muy poderosa para aprender. Una rata saciada no se interesaba mucho en aprender un laberinto, para encontrar comida, mientras que otra con un día de ayuno lo aprendía fácilmente y mucho más rápido lo hacía aquella que tenía cinco días sin comer. También algunos años antes de esa fecha había comprobado que cuando me presentaba a un examen ...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"En los años 60 del siglo XX, mientras hacía mis estudios de psicología, hacíamos experimentos con ratas y llegamos a comprobar que el hambre era una motivación muy poderosa para aprender. Una rata sac...","La Curación por El Ayuno, s/f"
8,"De acuerdo a estas cifras, aportadas por Cahill y Owen y otros fisiólogos, un humano con estas características, puede vivir 74 días. Algunos órganos, como el cerebro, no pueden utilizar las grasas como combustible directamente y requieren que el organismo convierta proteínas para sintetizar glucosa. Esta persona hipotética, dispone alrededor de 300 g de glucosa, que rinde 4 cal/g o sea 1.200 Kcal., las cuales se agotan en las primeras 24 horas. Nuestro sujeto dispone de 10 a 12 Kg de grasa, la c...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"De acuerdo a estas cifras, aportadas por Cahill y Owen y otros fisiólogos, un humano con estas características, puede vivir 74 días. Algunos órganos, como el cerebro, no pueden utilizar las grasas com...","La Curación por El Ayuno, s/f"
9,"Primera Etapa Según la alopatía, en las primeras de cambio, el organismo no pierde peso, pero entra en hipoglicemia una especie de depresión física, a la que llaman hipoglicemia (nivel bajo de azúcar en la sangre). Los síntomas de hipoglicemia son: agotamiento físico y debilidad (astenia), mareos, sudoración fría, etc. Todo esto ocurrirá, supuestamente, apenas la persona tiene unas horas de ayuno. Por nuestra parte hemos observado que si bien se sufre es porque se despierta el hambre, pero n...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"Primera Etapa Según la alopatía, en las primeras de cambio, el organismo no pierde peso, pero entra en hipoglicemia una especie de depresión física, a la que llaman hipoglicemia (nivel bajo de azú...","La Curación por El Ayuno, s/f"
10,"Segunda Etapa Superadas las primeras 24 a 36 horas, cuando ya están 100% agotadas las reservas de glucosa, comienza la segunda etapa, que se caracteriza por el consumo de la grasa y proteínas. La misma hipoglicemia desencadena los mecanismos que dirigirán el consumo de la grasa en esta 2ª fase del proceso y actuará sobre hipotálamo, terminaciones nerviosas, suprarrenales y páncreas. En esta segunda etapa. La mayoría de las células se adaptan a la -oxidación, es decir, al consumo directo de los ...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"Segunda Etapa Superadas las primeras 24 a 36 horas, cuando ya están 100% agotadas las reservas de glucosa, comienza la segunda etapa, que se caracteriza por el consumo de la grasa y proteínas. La mism...","La Curación por El Ayuno, s/f"
11,"• L-Arginina, para la síntesis de óxido nítrico, (ON), el verdadero anticoagulante natural del organismo; • Cobre, vitamina C y bioflavonoides de las cáscaras de frutas cítricas. Estos nutrientes ayudarán a regenerar la elastina de las arterias, para que recuperen su elasticidad. • También la tiamina o vitamina B1 será un gran aliado para regularizar el ritmo cardíaco, • Coenzima Q 10, • Vitamina E, • Ácidos grasos omega 3 y 6 también serán necesarios, pero directamente de alimentos crudos que l...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"• L-Arginina, para la síntesis de óxido nítrico, (ON), el verdadero anticoagulante natural del organismo; • Cobre, vitamina C y bioflavonoides de las cáscaras de frutas cítricas. Estos nutrientes ayud...","La Curación por El Ayuno, s/f"
12,"El programa nutricional preparativo para el ayuno que hemos diseñado, además del propósito fundamental, que es fortalecer el corazón y las arterias con los nutrientes de los cuales ha carecido por años; tiene un segundo propósito: el de descalcificar estructuras tales como válvulas cardíacas, arterias, venas y glándulas del organismo del enfermo, las cuales se encuentran invadidas por cristales de calcio. Como es de suponer, este programa alimentario no incluye leche ni quesos, pues son los resp...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"El programa nutricional preparativo para el ayuno que hemos diseñado, además del propósito fundamental, que es fortalecer el corazón y las arterias con los nutrientes de los cuales ha carecido por año...","La Curación por El Ayuno, s/f"
13,"¿En qué se utiliza la proteína de los ateromas? Una vez que se han agotado las reservas de glucosa del organismo, los macrófagos, células muy importantes de la defensa, comienzan a destruir los ateromas y los transportan hasta el hígado con sus Apo-Lp (lipoproteínas Apo), las cuales son similares, pero no iguales, a las lipoproteínas de baja densidad, LDL, donde una parte se convertirá en albúmina para la sangre y otra en cuerpos cetónicos y glucosa para el cerebro. Pero los ateromas que están s...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"¿En qué se utiliza la proteína de los ateromas? Una vez que se han agotado las reservas de glucosa del organismo, los macrófagos, células muy importantes de la defensa, comienzan a destruir los aterom...","La Curación por El Ayuno, s/f"
14,"– Lo mínimo necesario. Si una persona se propone hacer un ayuno prolongado cercano a 40 días, lo ideal es que se aleje de su vida rutinaria y busque un lugar tranquilo donde no reciba visitas, ni llamadas telefónicas frecuentes, no haya televisión, radio, computadoras o internet; donde no se entere de lo que pasa en el mundo y pueda dedicarse a la lectura, paseos suaves, oración, meditación y pensamientos optimistas.",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"– Lo mínimo necesario. Si una persona se propone hacer un ayuno prolongado cercano a 40 días, lo ideal es que se aleje de su vida rutinaria y busque un lugar tranquilo donde no reciba visitas, ni llam...","La Curación por El Ayuno, s/f"
15,"Alexi Suvorin a pesar de haber escrito su libro hace cerca o más de noventa años describe con detalles cómo la lengua es un medidor del proceso de desintoxicación del cuerpo. Se puede entrar en una tercera etapa del ayuno, mucho más allá de los cuarenta días tradicionalmente recomendados cuando el organismo tiene que echar mano de las proteínas musculares para seguir manteniendo la proteína de la sangre (la albúmina) y los cuerpos cetónicos. Afortunadamente, al quedar limpio y regenerado hasta d...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),Alexi Suvorin a pesar de haber escrito su libro hace cerca o más de noventa años describe con detalles cómo la lengua es un medidor del proceso de desintoxicación del cuerpo. Se puede entrar en una te...,"La Curación por El Ayuno, s/f"
16,"La respuesta es muy sencilla: hoy en día la medicina ha devenido en un negocio y a todo enfermo hay que ponerlo a gastar mucho dinero, primero en diagnósticos y segundo en tratamientos para controlar la enfermedad. Eso de evitar enfermarse comiendo sano, con comidas crudas y orgánicas, no le cuadra a la industria farmacéutica. Ella necesita gente que goce comiendo buenos filetes de carnes, pollo, mayonesa, jamones (momias sabrosas) bebidas gaseosas en lugar de jugos de fruta, que fumen y consuma...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"La respuesta es muy sencilla: hoy en día la medicina ha devenido en un negocio y a todo enfermo hay que ponerlo a gastar mucho dinero, primero en diagnósticos y segundo en tratamientos para controlar ...","La Curación por El Ayuno, s/f"
17,"La gente cree en su industria farmacéutica, porque las drogas que utiliza funcionan. Las drogas alcanzan el objetivo para el cual fueron diseñadas y eso los entusiasma, El público se ilusiona pensando que la ciencia se está devanando los sesos para encontrar la solución a su problema. He tenido pacientes que no les importa llegar a padecer o morir de un infarto, con tal de usar la pastillita que les va a levantar el ánimo. ¡Cuántos caen a diario en la trampa de las drogas de disimular gripe ...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"La gente cree en su industria farmacéutica, porque las drogas que utiliza funcionan. Las drogas alcanzan el objetivo para el cual fueron diseñadas y eso los entusiasma, El público se ilusiona pensando...","La Curación por El Ayuno, s/f"
18,"El célebre fisiólogo ruso, profesor Iván Pavlov, en quien el mundo venera ahora al sucesor indiscutible del gran Pasteur al frente del progreso de la fisiología, al oír en una reunión pública ponderar sus obras y descubrimien¬tos, declaró: «Pero, queridos compatriotas, yo significo aquí menos de lo que ustedes afirman. Ha llegado a mis manos un pequeño hecho de la existencia del organismo viviente; un pequeño hecho, nada más. ¡Todo el resto se hizo solo!». A mis manos también vino a parar «un pe...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"El célebre fisiólogo ruso, profesor Iván Pavlov, en quien el mundo venera ahora al sucesor indiscutible del gran Pasteur al frente del progreso de la fisiología, al oír en una reunión pública ponderar...","La Curación por El Ayuno, s/f"
19,"Ayuné por primera vez en mi vida hace catorce años al escribir el libro El Nuevo Hombre, en el que trataba sobre los diversos sistemas de alimentación. Había leído entonces en el libro de Metchnikoff que, ayunando voluntariamente, el hambre se siente sólo durante las primeras veinte horas. A fin de averiguarlo, me puse a ayunar. Para sorpresa mía, las palabras de Metchnikoff quedaron, en mi caso, compro¬badas. Después prolongué el ayuno diez días seguidos y a continuación repetí el experimento v...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"Ayuné por primera vez en mi vida hace catorce años al escribir el libro El Nuevo Hombre, en el que trataba sobre los diversos sistemas de alimentación. Había leído entonces en el libro de Metchnikoff ...","La Curación por El Ayuno, s/f"
20,"Por los hechos que he observado durante esos ayunos he comprobado que el organismo humano no tiene un solo camino general para su saneamiento, a través de los intestinos, sino dos, a saber: el primero para cuando la alimentación del organismo se efectúa por el estómago, y este camino (a través de los intestinos) conduce de arriba abajo; y el segundo para el tiempo de ayuno, durante el cual el organismo no recibe nada del lado del estómago y se alimenta de sus propias provisiones, y este camino c...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"Por los hechos que he observado durante esos ayunos he comprobado que el organismo humano no tiene un solo camino general para su saneamiento, a través de los intestinos, sino dos, a saber: el primero...","La Curación por El Ayuno, s/f"
21,"Durante ese ayuno comprobé que un ayuno prolongado y completo es, en efecto, un proceso determinado, con fases determinadas que se suceden en un orden determinado. En este proceso, transcurridos los primeros treinta días, a mediados de la quinta semana, aparecen indefectiblemente, en forma concéntrica, sobre la lengua hasta entonces blanca, manchas amarillas y luego pardas, y entre unas cinco y nueve días más tarde la lengua queda completa¬mente limpia, tornándose en toda su extensión roja. Acto...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"Durante ese ayuno comprobé que un ayuno prolongado y completo es, en efecto, un proceso determinado, con fases determinadas que se suceden en un orden determinado. En este proceso, transcurridos los p...","La Curación por El Ayuno, s/f"
22,"Días 32° - 33°: En medio de la lengua, sobre el color amarillo, aparece una mancha parda que tira a marrón.",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"Días 32° - 33°: En medio de la lengua, sobre el color amarillo, aparece una mancha parda que tira a marrón....","La Curación por El Ayuno, s/f"
23,"Días 34° - 35°: La mancha parda va creciendo. Los bordes de la lengua empiezan a despejarse del trasudor blanco, tornándose rojos. La mancha amarilla se reduce.",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"Días 34° - 35°: La mancha parda va creciendo. Los bordes de la lengua empiezan a despejarse del trasudor blanco, tornándose rojos. La mancha amarilla se reduce....","La Curación por El Ayuno, s/f"
24,"Días 38° - 39°: Casi toda la lengua roja. En el tercio superior de la misma se nota una pequeña mancha circular, muy níti¬damente contorneada, de color amarillo-pardo con una punta en la parte delantera parecida al pico de un jarro. Uno se da cuenta de que no se trata de una mancha, sino de la salida a la superficie de la lengua de todo un haz de chorros que llevan desde las profundidades del orga-nismo hacia fuera los residuos de la combustión. Es la desembocadura de ese torrente y su corte tra...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"Días 38° - 39°: Casi toda la lengua roja. En el tercio superior de la misma se nota una pequeña mancha circular, muy níti¬damente contorneada, de color amarillo-pardo con una punta en la parte delante...","La Curación por El Ayuno, s/f"
25,"Día 40°: La mancha parda desaparece. La cola del torrente ha sido arrojada fuera. La lengua está completamente limpia. Por primera vez después de treinta y nueve días apare¬ce el apetito. (Conmigo no ocurrió eso, porque no espe¬ré algunas horas más hasta la purificación completa de la lengua.)",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),Día 40°: La mancha parda desaparece. La cola del torrente ha sido arrojada fuera. La lengua está completamente limpia. Por primera vez después de treinta y nueve días apare¬ce el apetito. (Conmigo no ...,"La Curación por El Ayuno, s/f"
26,"Ese es el curso normal de los fenómenos en la lengua; a veces se producen algunos desvíos. Sin embargo, siem¬pre se observa lo principal: la disposición concéntrica de las manchas amarillas y pardas, ocupando estas últimas el centro en la parte profunda de la lengua, en la zona de los montículos papillæ circumvallatæ. Esa concentricidad sólo halla su explicación en que la superficie de la lengua en ese momento representa, en efecto, el corte transver¬sal del chorro redondo de los excrementos que...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"Ese es el curso normal de los fenómenos en la lengua; a veces se producen algunos desvíos. Sin embargo, siem¬pre se observa lo principal: la disposición concéntrica de las manchas amarillas y pardas, ...","La Curación por El Ayuno, s/f"
27,"Voy a sacar conclusiones de lo que llamo mi «descu¬brimiento». Que el hambre alivia muchas enfermedades, que el apetito desaparece generalmente al final del primer día, que se puede ayunar sin peligro alguno muchos días segui¬dos, que al principio del ayuno aparece sobre la lengua, no se sabe por qué, un «sedimento», que al final ese sedimen¬to desaparece y, por causas desconocidas, vuelve a apare¬cer el apetito, todo eso se sabía ya antes, pero se ignora¬ba por qué ocurría, se ignoraba el mecan...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"Voy a sacar conclusiones de lo que llamo mi «descu¬brimiento». Que el hambre alivia muchas enfermedades, que el apetito desaparece generalmente al final del primer día, que se puede ayunar sin peligro...","La Curación por El Ayuno, s/f"
28,"1. Durante el ayuno sistemático según el principio «no comer nada, tomar sólo agua», el hombre enseguida empieza a alimentarse de sus provisiones internas, y se establece un proceso que yo llamo el «proceso normal y automático de la profunda purificación del organismo des¬de dentro». Lo llamo «normal», porque durante el mismo la temperatura del ayunador baja comúnmente medio grado de la normal, sin exceder de los límites de entre 36 y 37 °C lo cual constituye un indicio claro de que el organismo...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"1. Durante el ayuno sistemático según el principio «no comer nada, tomar sólo agua», el hombre enseguida empieza a alimentarse de sus provisiones internas, y se establece un proceso que yo llamo el «p...","La Curación por El Ayuno, s/f"
29,"2. Para el saneamiento general del organismo humano funcionan en él constantemente no uno, sino dos mecanis¬mos, y existen no uno, sino dos caminos: uno para el tiem¬po en que el organismo se alimenta normalmente, por el estómago, y ese camino conduce, a través de los intestinos, de arriba abajo; y otro para el tiempo en que el organismo ayuna, es decir, se alimenta con sus provisiones internas, y ese camino conduce en el organismo de abajo arriba y termina en la boca, en la superficie de la len...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"2. Para el saneamiento general del organismo humano funcionan en él constantemente no uno, sino dos mecanis¬mos, y existen no uno, sino dos caminos: uno para el tiem¬po en que el organismo se alimenta...","La Curación por El Ayuno, s/f"
30,"3. La expulsión por la saliva y la boca de los residuos de la combustión de la materia empieza ya a partir del primer día de ayuno, lo que causa el fenómeno hasta la fecha no explicado, de que el apetito desaparezca al final del primer día; esos residuos envenenan los nervios gusta¬tivos, matando así el apetito para todo el resto del ayuno, es decir, mientras dure la expulsión de esas «cenizas» por la boca. 4. El organismo necesita generalmente de cinco a seis días para organizar completamente l...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"3. La expulsión por la saliva y la boca de los residuos de la combustión de la materia empieza ya a partir del primer día de ayuno, lo que causa el fenómeno hasta la fecha no explicado, de que el apet...","La Curación por El Ayuno, s/f"
31,"Durante mi segundo ayuno completo esperaba, en general, la repetición de los fenómenos del primero, aunque quizás sólo en una forma un tanto atenuada. Esperaba, así, una especie de «rutina» de parte de la naturaleza y, naturalmente, me equivoqué. El mecanismo en sí fue, en efecto, idéntico, pero los fenómenos resultaron diferentes. 1. Secreciones de aspecto peculiar sobre la lengua aparecieron también al tercer día de ayuno, pero esas ceni¬zas eran completamente diferentes: de un negro espeso y ...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"Durante mi segundo ayuno completo esperaba, en general, la repetición de los fenómenos del primero, aunque quizás sólo en una forma un tanto atenuada. Esperaba, así, una especie de «rutina» de parte d...","La Curación por El Ayuno, s/f"
32,"Durante el segundo y el tercer ayuno, todas mis sensa¬ciones dolorosas fueron mucho más leves y suaves que durante el primero, a excepción de una: la fatiga. La nota¬ba al subir a una altura siquiera insignificante. Durante la marcha, por más veloz que fuera, y hasta en la carrera en un plano horizontal o en ejercicios gimnásticos pesados, la fatiga se sentía generalmente en los músculos, la respiración, la espalda. En cambio, cual¬quier subida por la escalera de cinco a ocho peldaños o una elev...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"Durante el segundo y el tercer ayuno, todas mis sensa¬ciones dolorosas fueron mucho más leves y suaves que durante el primero, a excepción de una: la fatiga. La nota¬ba al subir a una altura siquiera ...","La Curación por El Ayuno, s/f"
33,"Con respecto a mí, puedo decir que no padezco ni he pade¬cido ninguna enfermedad especial, de modo que no sé qué es lo que me habría podido regalar el ayuno: lo que obtuve fue en forma completamente inesperada. Tenía 63 años. Mi cabello era ralo e iba encaneciendo. Después del primer ayuno empezó a crecer en abundancia y de color normal. Y no fui yo quien lo vio, me lo señalaron otros que me rodeaban. Hace dos años aparecieron en mis manos manchas causadas por el hígado. El doctor Verbitzky me d...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"Con respecto a mí, puedo decir que no padezco ni he pade¬cido ninguna enfermedad especial, de modo que no sé qué es lo que me habría podido regalar el ayuno: lo que obtuve fue en forma completamente i...","La Curación por El Ayuno, s/f"
34,"1. Se han fortalecido en forma sorprendente los nervios, ha aumentado la aptitud de trabajo y la capacidad de soportar la fatiga. 2. Se curó y empezó a funcionar perfectamente el hígado. 3. Desapareció el catarro de la garganta y de la nariz que me había quedado de un resfriado crónico. Mediante respira¬ciones profundas reprimí esta enfermedad que me había molestado durante veinticinco años, pero logré eliminarla por completo sólo con mi segundo ayuno. 4. Desaparecieron manifestaciones generales...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"1. Se han fortalecido en forma sorprendente los nervios, ha aumentado la aptitud de trabajo y la capacidad de soportar la fatiga. 2. Se curó y empezó a funcionar perfectamente el hígado. 3. Desapareci...","La Curación por El Ayuno, s/f"
35,"La cura por el hambre surte especial efecto en los casos de anemia, desarreglos intestinales, procesos inflamatorios y pustulosos, catarros, llagas externas e internas, tuber¬culosis, esclerosis, reuma, gota, hidropesía, neurastenia, neurosis, eczema, enfermedad de la vista, de la piel, diabe¬tes, enfermedad de los riñones, del hígado, etcétera . Por medio del ayuno no sólo se combaten, enferme¬dades «periódicas», sino también enfermedades tan cons¬titucionales como el cáncer, la sífilis, la tis...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"La cura por el hambre surte especial efecto en los casos de anemia, desarreglos intestinales, procesos inflamatorios y pustulosos, catarros, llagas externas e internas, tuber¬culosis, esclerosis, reum...","La Curación por El Ayuno, s/f"
36,"Los que quieren recurrir al ayuno para librarse de sus dolencias, naturalmente, tienen deseos de saber antes qué efecto ha producido sobre otros. Para ofrecer de una vez un cuadro general, el transcurso y los resultados del proceso, inserto a continuación varios relatos completos de personas que han realizado última¬mente el ayuno ante mis ojos.",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"Los que quieren recurrir al ayuno para librarse de sus dolencias, naturalmente, tienen deseos de saber antes qué efecto ha producido sobre otros. Para ofrecer de una vez un cuadro general, el transcur...","La Curación por El Ayuno, s/f"
37,"Obesidad, dilatación de la aorta, «moscas negras» ante los ojos. La cura por medio del ayuno en cuarenta días Entre junio y julio del año pasado, en Bulgaria, efectuó un ayuno de 40 días el ingeniero ruso I. Berladin, a quien la gordura del corazón y la dilatación de la aorta ya habían empezado a dificultar seriamente su trabajo en una mina, por sus difíciles caminatas y a veces hasta con la necesidad de arrastrarse por las galerías subterráneas, en un ambien¬te envenenado por toda clase de gase...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"Obesidad, dilatación de la aorta, «moscas negras» ante los ojos. La cura por medio del ayuno en cuarenta días Entre junio y julio del año pasado, en Bulgaria, efectuó un ayuno de 40 días el ingeniero ...","La Curación por El Ayuno, s/f"
38,"19 de mayo de 1925 ...Sufro dilatación de la aorta, gordura del corazón, todo debido a la alimentación irregular y al alcohol, que tomé en cantidad considerable durante la guerra contra Alema¬nia (estuve en el frente los tres años como oficial del Regi¬miento de Cosacos de la Guardia). Inadvertidamente, llegó el momento de pagar el precio. Se me presentó la cuenta en forma de amenazas de muerte a causa de subidas cotidianas por cuestas muy pronunciadas. Desde enero no como carne y no bebo ni una...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"19 de mayo de 1925 ...Sufro dilatación de la aorta, gordura del corazón, todo debido a la alimentación irregular y al alcohol, que tomé en cantidad considerable durante la guerra contra Alema¬nia (est...","La Curación por El Ayuno, s/f"
39,"7 de junio de 1925 A partir del 1º de junio empecé el ayuno de acuerdo con las instrucciones de usted y algunos datos recogidos del libro del profesor S. Meller sobre la cura mediante el hambre. Previamente tomé un purgante. 1er día: Hambre intensa. Tomé sólo agua. En la noche un enema de un litro de agua tibia. Tengo que decirle que, a causa de la arterioesclerosis, padezco de dilatación de la aorta, la cual me oprime el esófago (es la opinión de algunos médicos; otros, en cambio, dicen que est...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),7 de junio de 1925 A partir del 1º de junio empecé el ayuno de acuerdo con las instrucciones de usted y algunos datos recogidos del libro del profesor S. Meller sobre la cura mediante el hambre. Previ...,"La Curación por El Ayuno, s/f"
40,"Hoy ya ha pasado el decimo séptimo día de mi ayuno. A partir del séptimo día, se produjo una crisis en mi estado físico. Todo este tiempo me siento excelentemente. Duer¬mo profundamente, me levanto sin dolor de cabeza, tengo la sensación de ligereza y de bienestar. Estoy lleno de energías; me vienen ganas de correr y de saltar, y, sin embargo, hoyes el decimoséptimo día de ayuno. El espasmo en la garganta se hace sentir en forma muy débil y lejana. La lengua está blanca con una franja amari¬lla ...",Alexi Suvorin (extraído de 'La Curación por El Ayuno'),"Hoy ya ha pasado el decimo séptimo día de mi ayuno. A partir del séptimo día, se produjo una crisis en mi estado físico. Todo este tiempo me siento excelentemente. Duer¬mo profundamente, me levanto si...","La Curación por El Ayuno, s/f"
